"gene_symbol","entrez_id","kegg_gene_id","pathway_id","pathway_name","pathway_class","pathway_description","route_major_class","route_subclass","compound_id","compound_name"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14767","9(S)-HODE"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14825","9(10)-EpOME"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14826","12(13)-EpOME"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14827","9(S)-HPODE"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14828","9,10-DHOME"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14829","12,13-DHOME"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14831","8(R)-HPODE"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14832","12,13-Epoxy-9-hydroxy-10-octadecenoate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14833","9,12,13-TriHOME"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14834","9,10-Epoxy-13-hydroxy-11-octadecenoate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14835","9,10,13-TriHOME"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14836","9,10-12,13-Diepoxyoctadecanoate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14837","9,10-Dihydroxy-12,13-epoxyoctadecanoate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C19937","(8E,10R,12Z)-10-Hydroperoxy-8,12-octadecadienoate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C20186","5S,8R-DiHODE"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C22918","(9Z,11E)-12-[(1E)-Hex-1-en-1-yloxy]dodeca-9,11-dienoic acid"
"ALOX15","246","hsa:246","hsa01100","Metabolic pathways - Homo sapiens (human)","Unclassified",NA,"Unclassified","Unclassified",NA,NA
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00002","ATP"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00003","NAD+"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00019","S-Adenosyl-L-methionine"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00031","D-Glucose"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00062","L-Arginine"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00073","L-Methionine"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00075","UTP"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00077","L-Ornithine"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00134","Putrescine"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00162","Fatty acid"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00186","(S)-Lactate"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00187","Cholesterol"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C00584","Prostaglandin E2"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C02530","Cholesterol ester"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C02737","Phosphatidylserine"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C04230","1-Acyl-sn-glycero-3-phosphocholine"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C06124","Sphingosine 1-phosphate"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C06314","Lipoxin A4"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C15519","25-Hydroxycholesterol"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C15610","Cholest-5-ene-3beta,26-diol"
"ALOX15","246","hsa:246","hsa04148","Efferocytosis - Homo sapiens (human)","Cellular Processes; Transport and catabolism",NA,"Cellular Processes","Transport and catabolism","C18178","Resolvin D1"
"ALOX15","246","hsa:246","hsa04216","Ferroptosis - Homo sapiens (human)","Cellular Processes; Cell growth and death","Ferroptosis is a regulated form of cell death and characterized by a production of reactive oxygen species (ROS) from accumulated iron and lipid peroxidation. It can be induced by experimental compounds (e.g.,erastin, RSL3) or clinical drugs(e.g., sulfasalazine, sorafenib) in cancer cell and certain normal cells. It is involved in multiple physiological and pathological processes, such as cancer cell death, neurodegenerative disease, tissue damage and acute renal failure.","Cellular Processes","Cell growth and death","C00010","CoA"
"ALOX15","246","hsa:246","hsa04216","Ferroptosis - Homo sapiens (human)","Cellular Processes; Cell growth and death","Ferroptosis is a regulated form of cell death and characterized by a production of reactive oxygen species (ROS) from accumulated iron and lipid peroxidation. It can be induced by experimental compounds (e.g.,erastin, RSL3) or clinical drugs(e.g., sulfasalazine, sorafenib) in cancer cell and certain normal cells. It is involved in multiple physiological and pathological processes, such as cancer cell death, neurodegenerative disease, tissue damage and acute renal failure.","Cellular Processes","Cell growth and death","C00024","Acetyl-CoA"
"ALOX15","246","hsa:246","hsa04216","Ferroptosis - Homo sapiens (human)","Cellular Processes; Cell growth and death","Ferroptosis is a regulated form of cell death and characterized by a production of reactive oxygen species (ROS) from accumulated iron and lipid peroxidation. It can be induced by experimental compounds (e.g.,erastin, RSL3) or clinical drugs(e.g., sulfasalazine, sorafenib) in cancer cell and certain normal cells. It is involved in multiple physiological and pathological processes, such as cancer cell death, neurodegenerative disease, tissue damage and acute renal failure.","Cellular Processes","Cell growth and death","C00025","L-Glutamate"
"ALOX15","246","hsa:246","hsa04216","Ferroptosis - Homo sapiens (human)","Cellular Processes; Cell growth and death","Ferroptosis is a regulated form of cell death and characterized by a production of reactive oxygen species (ROS) from accumulated iron and lipid peroxidation. It can be induced by experimental compounds (e.g.,erastin, RSL3) or clinical drugs(e.g., sulfasalazine, sorafenib) in cancer cell and certain normal cells. It is involved in multiple physiological and pathological processes, such as cancer cell death, neurodegenerative disease, tissue damage and acute renal failure.","Cellular Processes","Cell growth and death","C00027","Hydrogen peroxide"
