"pathway_id","compound_id","compound_name"
"hsa00330","C03912","(S)-1-Pyrroline-5-carboxylate"
"hsa00330","C04137","Octopine"
"hsa00330","C04281","L-1-Pyrroline-3-hydroxy-5-carboxylate"
"hsa00330","C05147","trans-3-Hydroxy-L-proline"
"hsa00330","C05931","N-Succinyl-L-glutamate"
"hsa00330","C05932","N-Succinyl-L-glutamate 5-semialdehyde"
"hsa00330","C05933","N(omega)-Hydroxyarginine"
"hsa00330","C05936","N4-Acetylaminobutanal"
"hsa00330","C05938","L-4-Hydroxyglutamate semialdehyde"
"hsa00330","C05945","L-Arginine phosphate"
"hsa00330","C05946","(4R)-4-Hydroxy-2-oxoglutarate"
"hsa00330","C05947","L-erythro-4-Hydroxyglutamate"
"hsa00330","C10497","Feruloylputrescine"
"hsa00330","C15699","gamma-L-Glutamylputrescine"
"hsa00330","C15700","gamma-Glutamyl-gamma-aminobutyraldehyde"
"hsa00330","C15767","4-(L-gamma-Glutamylamino)butanoate"
"hsa00330","C18172","Carboxyspermidine"
"hsa00330","C18174","Carboxynorspermidine"
"hsa00330","C18326","p-Coumaroylputrescine"
"hsa00330","C19706","cis-3-Hydroxy-L-proline"
"hsa00330","C20560","N1-(3-Aminopropyl)agmatine"
"hsa00330","C22886","N1-[(S)-3-amino-3-carboxypropyl]agmatine"
"hsa05146","C00027","Hydrogen peroxide"
"hsa05146","C00062","L-Arginine"
"hsa05146","C00076","Calcium cation"
"hsa05146","C00165","Diacylglycerol"
"hsa05146","C00219","Arachidonate"
"hsa05146","C00533","Nitric oxide"
"hsa05146","C00575","3',5'-Cyclic AMP"
"hsa05146","C00584","Prostaglandin E2"
"hsa05146","C01074","N-Acetylgalactosamine"
"hsa05146","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa05146","C01498","Gelatine"
"hsa05146","C02737","Phosphatidylserine"
"hsa05146","C18287","Monocyte locomotion inhibitory factor"
"hsa04625","C00027","Hydrogen peroxide"
"hsa04625","C00076","Calcium cation"
"hsa04625","C00159","D-Mannose"
"hsa04625","C00165","Diacylglycerol"
"hsa04625","C00584","Prostaglandin E2"
"hsa04625","C00965","1,3-beta-D-Glucan"
"hsa04625","C01019","L-Fucose"
"hsa04625","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa04625","C16844","Hydroxyl radical"
"hsa04625","C21790","Mycobacterial trehalose dimycolate"
"hsa04625","C21791","Rhodocytin"
"hsa04625","G13115","Mannose-capped lipoarabinomannan"
"hsa04062","C00076","Calcium cation"
"hsa04062","C00165","Diacylglycerol"
"hsa04062","C00575","3',5'-Cyclic AMP"
"hsa04062","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa04062","C05981","Phosphatidylinositol-3,4,5-trisphosphate"
"hsa04622","C00046","RNA"
"hsa04623","C00039","DNA"
"hsa04623","C20640","Cyclic GMP-AMP"
"hsa05160","C05981","Phosphatidylinositol-3,4,5-trisphosphate"
"hsa05160","C20935","2-5A"
"hsa05164","C00027","Hydrogen peroxide"
"hsa05164","C00080","H+"
"hsa05164","C05981","Phosphatidylinositol-3,4,5-trisphosphate"
"hsa05169","C00076","Calcium cation"
"hsa05169","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa05169","C05981","Phosphatidylinositol-3,4,5-trisphosphate"
"hsa05171","C00027","Hydrogen peroxide"
"hsa05171","C00046","RNA"
"hsa05171","C00165","Diacylglycerol"
"hsa05171","C00290","Fibrin"
"hsa05171","C00533","Nitric oxide"
"hsa05171","C00704","Superoxide"
"hsa05171","C00873","Angiotensin I"
"hsa05171","C02135","Angiotensin II"
"hsa05171","C15850","Angiotensin (1-7)"
"hsa05171","C20640","Cyclic GMP-AMP"
"hsa04080","C00002","ATP"
"hsa04080","C00008","ADP"
"hsa04080","C00015","UDP"
"hsa04080","C00025","L-Glutamate"
"hsa04080","C00037","Glycine"
"hsa04080","C00049","L-Aspartate"
"hsa04080","C00075","UTP"
"hsa04080","C00099","beta-Alanine"
"hsa04080","C00212","Adenosine"
"hsa04080","C00245","Taurine"
"hsa04080","C00334","4-Aminobutanoate"
"hsa04080","C00388","Histamine"
"hsa04080","C00398","Tryptamine"
"hsa04080","C00410","Progesterone"
"hsa04080","C00483","Tyramine"
"hsa04080","C00506","L-Cysteate"
"hsa04080","C00547","L-Noradrenaline"
"hsa04080","C00584","Prostaglandin E2"
"hsa04080","C00639","Prostaglandin F2alpha"
"hsa04080","C00681","1-Acyl-sn-glycerol 3-phosphate"
"hsa04080","C00696","Prostaglandin D2"
"hsa04080","C00735","Cortisol"
"hsa04080","C00780","Serotonin"
"hsa04080","C00788","L-Adrenaline"
"hsa04080","C01120","Sphinganine 1-phosphate"
"hsa04080","C01312","Prostaglandin I2"
"hsa04080","C01516","Morphine"
"hsa04080","C01598","Melatonin"
"hsa04080","C01829","Thyroxine"
"hsa04080","C01996","Acetylcholine"
"hsa04080","C02165","Leukotriene B4"
"hsa04080","C02166","Leukotriene C4"
"hsa04080","C02198","Thromboxane A2"
"hsa04080","C02465","Triiodothyronine"
"hsa04080","C03758","Dopamine"
"hsa04080","C04227","Octopamine"
"hsa04080","C04598","2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine"
"hsa04080","C05113","Porphyrin"
"hsa04080","C05951","Leukotriene D4"
"hsa04080","C05952","Leukotriene E4"
"hsa04080","C06124","Sphingosine 1-phosphate"
