"dataset","gene_or_identifier","mean_expression","sd_expression","min_expression","max_expression","n_samples"
"GSE13205_series1","CCM2L",,,Inf,-Inf,21
"GSE13205_series1","TBC1D32",,,Inf,-Inf,21
"GSE13205_series1","CENPL",,,Inf,-Inf,21
"GSE13205_series1","SLC25A51",,,Inf,-Inf,21
"GSE13205_series1","SLC22A16",,,Inf,-Inf,21
"GSE13205_series1","CCDC18",,,Inf,-Inf,21
"GSE13205_series1","RALGAPA2",,,Inf,-Inf,21
"GSE13205_series1","FAM209B",,,Inf,-Inf,21
"GSE13205_series1","HELZ2",,,Inf,-Inf,21
"GSE13205_series1","TP73",,,Inf,-Inf,21
"GSE13205_series1","ZNF684",,,Inf,-Inf,21
"GSE13205_series1","SPG20OS",,,Inf,-Inf,21
"GSE13205_series1","SLITRK4",,,Inf,-Inf,21
"GSE13205_series1","HDGFL1",,,Inf,-Inf,21
"GSE13205_series1","KIF6",,,Inf,-Inf,21
"GSE13205_series1","LINGO2",,,Inf,-Inf,21
"GSE13205_series1","ENPP3",,,Inf,-Inf,21
"GSE13205_series1","COX4I2",,,Inf,-Inf,21
"GSE13205_series1","C6ORF118",,,Inf,-Inf,21
"GSE13205_series1","SIRPD",,,Inf,-Inf,21
"GSE13205_series1","C20ORF166",,,Inf,-Inf,21
"GSE13205_series1","LINC00266_1",,,Inf,-Inf,21
"GSE13205_series1","NUP62CL",,,Inf,-Inf,21
"GSE13205_series1","SAMD10",,,Inf,-Inf,21
"GSE13205_series1","FITM2",,,Inf,-Inf,21
"GSE13205_series1","RSPH4A",,,Inf,-Inf,21
"GSE13205_series1","DEFB129",,,Inf,-Inf,21
"GSE13205_series1","DEFB126",,,Inf,-Inf,21
"GSE13205_series1","LINC00348",,,Inf,-Inf,21
"GSE13205_series1","UHRF1BP1",,,Inf,-Inf,21
"GSE13205_series1","DENND2C",,,Inf,-Inf,21
"GSE13205_series1","CCDC169",,,Inf,-Inf,21
"GSE13205_series1","DEFB127",,,Inf,-Inf,21
"GSE13205_series1","SLC52A3",,,Inf,-Inf,21
"GSE13205_series1","RP11_314N13.3",,,Inf,-Inf,21
"GSE13205_series1","IFT52",,,Inf,-Inf,21
"GSE13205_series1","SLC4A11",,,Inf,-Inf,21
"GSE13205_series1","PPDPF",,,Inf,-Inf,21
"GSE13205_series1","RP11_560A15.4",,,Inf,-Inf,21
"GSE13205_series1","CDH26",,,Inf,-Inf,21
"GSE13205_series1","FAM135A",,,Inf,-Inf,21
"GSE13205_series1","C6ORF163",,,Inf,-Inf,21
"GSE13205_series1","TBX18",,,Inf,-Inf,21
"GSE13205_series1","DCDC2B",,,Inf,-Inf,21
"GSE13205_series1","ADCY10P1",,,Inf,-Inf,21
"GSE13205_series1","DTD1",,,Inf,-Inf,21
"GSE13205_series1","RPL7AP71",,,Inf,-Inf,21
"GSE13205_series1","RP5_1189K21.2",,,Inf,-Inf,21
"GSE13205_series1","RP1_31B8.1",,,Inf,-Inf,21
"GSE13205_series1","COL4A5",,,Inf,-Inf,21
"GSE13205_series1","RP4_633H17.2",,,Inf,-Inf,21
"GSE13205_series1","EIF3LP3",,,Inf,-Inf,21
"GSE13205_series1","RP3_486D24.1",,,Inf,-Inf,21
"GSE13205_series1","GCNT7",,,Inf,-Inf,21
"GSE13205_series1","RP11_255A11.4",,,Inf,-Inf,21
"GSE13205_series1","SUGT1P1",,,Inf,-Inf,21
"GSE13205_series1","BCORL1",,,Inf,-Inf,21
"GSE13205_series1","DHX35",,,Inf,-Inf,21
"GSE13205_series1","RPLP0P1",,,Inf,-Inf,21
"GSE13205_series1","RPL7AL2",,,Inf,-Inf,21
"GSE13205_series1","KREMEN1",,,Inf,-Inf,21
"GSE13205_series1","EFCAB6",,,Inf,-Inf,21
"GSE13205_series1","MTND1P33",,,Inf,-Inf,21
"GSE13205_series1","RP4_612B18.3",,,Inf,-Inf,21
"GSE13205_series1","CSNK1E",,,Inf,-Inf,21
"GSE13205_series1","ENTPD6",,,Inf,-Inf,21
"GSE13205_series1","GAPDHP73",,,Inf,-Inf,21
"GSE13205_series1","CARS",,,Inf,-Inf,21
"GSE13205_series1","KY",,,Inf,-Inf,21
"GSE13205_series1","GCAT",,,Inf,-Inf,21
